Type,Purpose,Furnishing,Price,Beds,Baths,Area_sqft,Address
Apartment,Sale,Unfurnished,"530,000",Studio,1 bath,355 sqft,"Moonsa Residences 2, International City Phase 2 (Warsan 4), International City, Dubai, UAE"
Apartment,Sale,Unfurnished,"1,800,000",2 beds,3 baths,990 sqft,"Sobha Orbis Tower A, Sobha Orbis, Motor City, Dubai, UAE"
Apartment,Sale,Unfurnished,"1,000,000",1 bed,2 baths,544 sqft,"Sobha Orbis Tower B, Sobha Orbis, Motor City, Dubai, UAE"
Apartment,Sale,Unfurnished,"1,220,000",1 bed,2 baths,673 sqft,"Sobha Orbis Tower E, Sobha Orbis, Motor City, Dubai, UAE"
Apartment,Sale,Unfurnished,"1,400,000",1 bed,2 baths,751 sqft,"Koro One, Jumeirah Garden City, Al Satwa, Dubai, UAE"
Apartment,Sale,Unfurnished,"1,016,000",1 bed,2 baths,788 sqft,"The Haven II Residences, Majan, Dubai, UAE"
Apartment,Sale,Furnished,"1,050,000",1 bed,2 baths,915 sqft,"Noor 1, Noor District, Midtown, Dubai Production City (IMPZ), Dubai, UAE"
Apartment,Sale,Unfurnished,"1,365,000",2 beds,3 baths,"1,128 sqft","The Haven II Residences, Majan, Dubai, UAE"
Apartment,Sale,Furnished,"995,000",1 bed,2 baths,930 sqft,"Pantheon Elysee I, JVC District 13, Jumeirah Village Circle (JVC), Dubai, UAE"
Apartment,Sale,Unfurnished,"1,100,000",1 bed,2 baths,701 sqft,"Bluebell  Residence, JVC District 11, Jumeirah Village Circle (JVC), Dubai, UAE"
Apartment,Sale,Furnished,"700,000",Studio,1 bath,408 sqft,"Beverly Residence, JVC District 13, Jumeirah Village Circle (JVC), Dubai, UAE"
Apartment,Sale,Unfurnished,"930,000",1 bed,2 baths,651 sqft,"Binghatti Nova, JVC District 12, Jumeirah Village Circle (JVC), Dubai, UAE"
Apartment,Sale,Furnished,"1,150,000",2 beds,3 baths,"1,171 sqft","HZ Residences 5, International City Phase 2 (Warsan 4), International City, Dubai, UAE"
Apartment,Sale,Furnished,"1,225,000",2 beds,3 baths,"1,035 sqft","Forest City Tower, Majan, Dubai, UAE"
Apartment,Sale,Furnished,"815,000",1 bed,2 baths,710 sqft,"Forest City Tower, Majan, Dubai, UAE"
Apartment,Sale,Unfurnished,"3,138,000",2 beds,3 baths,"1,163 sqft","Chelsea Residences by DAMAC, Dubai Maritime City, Dubai, UAE"
Apartment,Sale,Unfurnished,"2,170,000",1 bed,2 baths,773 sqft,"Chelsea Residences by DAMAC, Dubai Maritime City, Dubai, UAE"
Apartment,Sale,Unfurnished,"2,170,000",1 bed,2 baths,773 sqft,"Chelsea Residences by DAMAC, Dubai Maritime City, Dubai, UAE"
Apartment,Sale,Unfurnished,"1,280,000",1 bed,2 baths,736 sqft,"Vincitore Dolce Vita, Arjan, Dubai, UAE"
Apartment,Sale,Furnished,"1,253,956",1 bed,2 baths,639 sqft,"Sobha Orbis Tower D, Sobha Orbis, Motor City, Dubai, UAE"
Apartment,Sale,Unfurnished,"1,900,105",1 bed,2 baths,754 sqft,"The Element, Sobha One, Sobha Hartland, Dubai, UAE"
Apartment,Sale,Furnished,"1,900,000",2 beds,1 bath,750 sqft,"Golfville, Dubai Hills Estate, Dubai, UAE"
Apartment,Sale,Furnished,"900,000",Studio,1 bath,455 sqft,"DAMAC Maison Majestine, Business Bay, Dubai, UAE"
Apartment,Sale,Furnished,"2,250,000",1 bed,1 bath,806 sqft,"La Rive Tower 1, La Rive, Port de La Mer, La Mer, Jumeirah, Dubai, UAE"
Apartment,Sale,Unfurnished,"2,750,000",2 beds,2 baths,"1,138 sqft","Park Views Residences A, Park Views Residences, Al Kifaf, Bur Dubai, Dubai, UAE"
Apartment,Sale,Unfurnished,"1,850,000",2 beds,3 baths,"2,150 sqft","Rokane G22, JVC District 11, Jumeirah Village Circle (JVC), Dubai, UAE"
Apartment,Sale,Unfurnished,"940,000",1 bed,1 bath,651 sqft,"Binghatti Amber, JVC District 11, Jumeirah Village Circle (JVC), Dubai, UAE"
Apartment,Sale,Unfurnished,"2,300,000",3 beds,4 baths,"1,727 sqft","Sulafa Tower, Dubai Marina, Dubai, UAE"
Apartment,Sale,Unfurnished,"1,858,348",1 bed,2 baths,737 sqft,"The Element, Sobha One, Sobha Hartland, Dubai, UAE"
Villa,Sale,Unfurnished,"2,400,000",3 beds,4 baths,"1,570 sqft","Expo Golf Villas 4 (Greenviews 1), Expo Golf Villas, Emaar South, Dubai South, Dubai, UAE"
Apartment,Sale,Unfurnished,"5,250,000",2 beds,2 baths,"1,428 sqft","Burj Khalifa, Downtown Dubai, Dubai, UAE"
Apartment,Sale,Furnished,"880,000",1 bed,2 baths,666 sqft,"V2, Dubai Sports City, Dubai, UAE"
Apartment,Sale,Unfurnished,"1,350,000",1 bed,2 baths,896 sqft,"Armada Tower 3, Armada Towers, JLT Cluster P, Jumeirah Lake Towers (JLT), Dubai, UAE"
Apartment,Sale,Unfurnished,"1,440,000",1 bed,1 bath,784 sqft,"Golf Greens Tower B, Golf Greens, DAMAC Hills, Dubai, UAE"
Apartment,Sale,Unfurnished,"1,075,359",Studio,1 bath,441 sqft,"Binghatti Aquarise, Business Bay, Dubai, UAE"
Apartment,Sale,Furnished,"1,450,000",1 bed,2 baths,764 sqft,"Hilliana Tower, Acacia Avenues, Al Sufouh 1, Al Sufouh, Dubai, UAE"
Apartment,Sale,Furnished,"1,699,999",2 beds,3 baths,"1,139 sqft","Equiti Arcade, Al Furjan, Dubai, UAE"
Apartment,Sale,Unfurnished,"925,000",2 beds,3 baths,"1,254 sqft","Lago Vista C, Lago Vista, Dubai Production City (IMPZ), Dubai, UAE"
Apartment,Sale,Unfurnished,"700,000",Studio,1 bath,556 sqft,"Q Gardens Lofts 2, JVC District 12, Jumeirah Village Circle (JVC), Dubai, UAE"
Apartment,Sale,Unfurnished,"1,551,000",2 beds,3 baths,"1,273 sqft","Azizi Central, Al Furjan, Dubai, UAE"
Apartment,Sale,Furnished,"1,910,416",1 bed,2 baths,"1,037 sqft","Sunset Bay 3 by Imtiaz, Dubai Islands, Dubai, UAE"
Townhouse,Sale,Unfurnished,"2,750,000",4 beds,3 baths,"2,270 sqft","Santorini, DAMAC Lagoons, Dubai, UAE"
Villa,Sale,Unfurnished,"3,479,000",5 beds,5 baths,"3,178 sqft","DAMAC Islands, Dubailand, Dubai, UAE"
Villa,Sale,Unfurnished,"2,649,999",4 beds,5 baths,"2,273 sqft","Sage, DAMAC Riverside, Dubai Investment Park (DIP), Dubai, UAE"
Apartment,Sale,Unfurnished,"720,000",1 bed,2 baths,979 sqft,"Building 51, Mediterranean, Discovery Gardens, Dubai, UAE"
Apartment,Sale,Furnished,"1,199,999",1 bed,2 baths,"1,159 sqft","Pantheon Boulevard, JVC District 13, Jumeirah Village Circle (JVC), Dubai, UAE"
Apartment,Sale,Unfurnished,"904,807",1 bed,2 baths,715 sqft,"Coventry Gardens, Dubai Land Residence Complex, Dubai, UAE"
Apartment,Sale,Unfurnished,"1,240,000",2 beds,3 baths,"1,144 sqft","Coventry 66, Residential District, Dubai South, Dubai, UAE"
Apartment,Sale,Furnished,"800,000",1 bed,2 baths,813 sqft,"Venetian, Canal Residence West, Dubai Sports City, Dubai, UAE"
Apartment,Sale,Unfurnished,"830,000",1 bed,2 baths,909 sqft,"The Medalist, Dubai Sports City, Dubai, UAE"
Apartment,Sale,Unfurnished,"975,000",1 bed,2 baths,793 sqft,"Serene Gardens, Discovery Gardens, Dubai, UAE"
Villa,Sale,Unfurnished,"30,000,000",5 beds,6 baths,"7,318 sqft","Address Villas Hillcrest, Dubai Hills Estate, Dubai, UAE"
Apartment,Sale,Furnished,"1,200,000",1 bed,2 baths,892 sqft,"MYKA Residence, Dubai Production City (IMPZ), Dubai, UAE"
Apartment,Sale,Furnished,"730,000",Studio,1 bath,348 sqft,"Azizi Riviera 13, Azizi Riviera, Meydan One, Meydan City, Dubai, UAE"
Apartment,Sale,Unfurnished,"690,000",1 bed,2 baths,819 sqft,"May Residence Tower 4, May Residence, JVC District 10, Jumeirah Village Circle (JVC), Dubai, UAE"
Apartment,Sale,Furnished,"1,500,000",1 bed,1 bath,556 sqft,"Azizi Riviera 32, Azizi Riviera, Meydan One, Meydan City, Dubai, UAE"
Apartment,Sale,Unfurnished,"3,800,000",2 beds,3 baths,"1,241 sqft","Creek Waters, Dubai Creek Harbour, Dubai, UAE"
Apartment,Sale,Furnished,"1,015,000",1 bed,2 baths,699 sqft,"Pantheon Elysee II, JVC District 12, Jumeirah Village Circle (JVC), Dubai, UAE"
Apartment,Sale,Unfurnished,"805,580",Studio,1 bath,415 sqft,"Binghatti Starlight, Dubai Healthcare City Phase 2, Al Jaddaf, Dubai, UAE"
Apartment,Sale,Unfurnished,"690,000",Studio,1 bath,452 sqft,"Regina Tower, JVC District 12, Jumeirah Village Circle (JVC), Dubai, UAE"
Apartment,Sale,Unfurnished,"860,000",Studio,1 bath,479 sqft,"DAMAC Maison Majestine, Business Bay, Dubai, UAE"
Apartment,Sale,Unfurnished,"1,140,000",1 bed,1 bath,642 sqft,"Merano Tower, Business Bay, Dubai, UAE"
Apartment,Sale,Furnished,"950,000",Studio,1 bath,418 sqft,"DAMAC Maison Aykon City, Aykon City, Business Bay, Dubai, UAE"
Townhouse,Sale,Unfurnished,"2,988,000",4 beds,3 baths,"2,285 sqft","Morocco, DAMAC Lagoons, Dubai, UAE"
Villa,Sale,Furnished,"9,500,000",5 beds,6 baths,"6,511 sqft","Al Furjan West, Al Furjan, Dubai, UAE"
Apartment,Sale,Unfurnished,"705,000",Studio,1 bath,379 sqft,"Legado by Prescott, JVC District 14, Jumeirah Village Circle (JVC), Dubai, UAE"
Apartment,Sale,Unfurnished,"1,062,000",Studio,1 bath,398 sqft,"Binghatti Skyhall, Business Bay, Dubai, UAE"
Apartment,Sale,Unfurnished,"1,349,000",2 beds,2 baths,957 sqft,"Binghatti Crest, JVC District 13, Jumeirah Village Circle (JVC), Dubai, UAE"
Villa,Sale,Unfurnished,"4,400,000",4 beds,5 baths,"4,269 sqft","Rivana, The Valley by Emaar, Dubai, UAE"
Apartment,Sale,Unfurnished,"1,575,000",1 bed,2 baths,821 sqft,"Olivia Garden Residence, Jumeirah Garden City, Al Satwa, Dubai, UAE"
Apartment,Sale,Unfurnished,"970,000",Studio,1 bath,422 sqft,"Koro One, Jumeirah Garden City, Al Satwa, Dubai, UAE"
Apartment,Sale,Furnished,"1,255,000",Studio,1 bath,821 sqft,"Coral by Vision, Jumeirah Garden City, Al Satwa, Dubai, UAE"
Apartment,Sale,Furnished,"1,150,000",1 bed,1 bath,761 sqft,"Marina Pinnacle, Dubai Marina, Dubai, UAE"
Townhouse,Sale,Unfurnished,"2,800,000",4 beds,3 baths,"1,550 sqft","Santorini, DAMAC Lagoons, Dubai, UAE"
Apartment,Sale,Unfurnished,"1,400,000",1 bed,2 baths,928 sqft,"Binghatti Royale, JVC District 18, Jumeirah Village Circle (JVC), Dubai, UAE"
Townhouse,Sale,Unfurnished,"4,300,000",4 beds,6 baths,"3,244 sqft","JVT District 1, Jumeirah Village Triangle (JVT), Dubai, UAE"
Apartment,Sale,Furnished,"509,998",Studio,1 bath,402 sqft,"JVC District 14, Jumeirah Village Circle (JVC), Dubai, UAE"
Apartment,Sale,Unfurnished,"750,000",Studio,1 bath,501 sqft,"Lazord by LAPIS, Majan, Dubai, UAE"
Apartment,Sale,Unfurnished,"1,850,000",2 beds,2 baths,"1,824 sqft","Al Waha, Dubailand, Dubai, UAE"
Villa,Sale,Unfurnished,"950,000",1 bed,2 baths,658 sqft,"Rukan 3, Rukan, Dubailand, Dubai, UAE"
Townhouse,Sale,Unfurnished,"2,800,000",3 beds,4 baths,"1,944 sqft","Sun, Arabian Ranches 3, Dubai, UAE"
Apartment,Sale,Furnished,"696,000",1 bed,2 baths,744 sqft,"Jade Tower, Majan, Dubai, UAE"
Townhouse,Sale,Unfurnished,"2,300,000",4 beds,3 baths,"2,315 sqft","Monte Carlo, DAMAC Lagoons, Dubai, UAE"
